time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
1577837184.99931693,0.01422722,0.01085679,-nan,60910.00000000,0.01286015,0.000000,0.000000
1577837185.09995699,0.01421156,0.01069941,-nan,61590.00000000,0.01252049,0.000000,0.000000
1577837185.19979811,0.01419688,0.01085377,-nan,62222.00000000,0.01259707,0.000000,0.000000
1577837185.29965210,0.01418595,0.01130525,-nan,63046.00000000,0.01298378,0.000000,0.000000
1577837185.39948606,0.01417025,0.01070508,-nan,63595.00000000,0.01242772,0.000000,0.000000
1577837185.49930501,0.01416847,0.01194578,-nan,64339.00000000,0.01396849,0.000000,0.000000
1577837185.59994602,0.01414454,0.00946755,-nan,64901.00000000,0.01144027,0.000000,0.000000
1577837185.69977593,0.01412616,0.00941051,-nan,65481.00000000,0.01203079,0.000000,0.000000
1577837185.79961491,0.01409423,0.00813848,-nan,66089.00000000,0.01042238,0.000000,0.000000
1577837185.89946294,0.01406060,0.00831561,-nan,66519.00000000,0.01015949,0.000000,0.000000
1577837185.99930811,0.01403128,0.00849467,-nan,66883.00000000,0.01060131,0.000000,0.000000
1577837186.09995103,0.01400940,0.00831302,-nan,66992.00000000,0.01142779,0.000000,0.000000
1577837186.19979906,0.01397828,0.00744248,-nan,67234.00000000,0.01027430,0.000000,0.000000
1577837186.29963398,0.01392703,0.00585043,-nan,67409.00000000,0.00777702,0.000000,0.000000
1577837186.39946914,0.01390171,0.00891814,-nan,67640.00000000,0.01083840,0.000000,0.000000
1577837186.49930596,0.01386766,0.00720080,-nan,67879.00000000,0.00971295,0.000000,0.000000
1577837186.59995484,0.01382375,0.00589769,-nan,68134.00000000,0.00842302,0.000000,0.000000
1577837186.69978499,0.01379014,0.00708606,-nan,68255.00000000,0.00962281,0.000000,0.000000
1577837186.79961395,0.01377211,0.00910074,-nan,68491.00000000,0.01151810,0.000000,0.000000
1577837186.89944100,0.01376390,0.00973544,-nan,68579.00000000,0.01272998,0.000000,0.000000
1577837186.99966598,0.01376060,0.01069669,-nan,68900.00000000,0.01334111,0.000000,0.000000
1577837187.09948897,0.01375863,0.01098695,-nan,69279.00000000,0.01350688,0.000000,0.000000
1577837187.19933605,0.01375260,0.00990036,-nan,69749.00000000,0.01297480,0.000000,0.000000
1577837187.29996490,0.01375247,0.01170139,-nan,70250.00000000,0.01373568,0.000000,0.000000
1577837187.39980793,0.01373836,0.00955881,-nan,70820.00000000,0.01188982,0.000000,0.000000
1577837187.49965501,0.01373246,0.01068778,-nan,71205.00000000,0.01295334,0.000000,0.000000
1577837187.59949994,0.01372957,0.01137673,-nan,71670.00000000,0.01334461,0.000000,0.000000
1577837187.69935584,0.01375193,0.01475765,-nan,72054.00000000,0.01674816,0.000000,0.000000
1577837187.79998994,0.01377300,0.01437960,-nan,72571.00000000,0.01661835,0.000000,0.000000
1577837187.89985514,0.01378654,0.01344501,-nan,73110.00000000,0.01562726,0.000000,0.000000
1577837187.99970007,0.01381876,0.01503824,-nan,73733.00000000,0.01823370,0.000000,0.000000
1577837188.09953904,0.01384337,0.01439580,-nan,74568.00000000,0.01723955,0.000000,0.000000
1577837188.19937682,0.01386406,0.01407839,-nan,75422.00000000,0.01673906,0.000000,0.000000
1577837188.29961085,0.01388956,0.01549590,-nan,76151.00000000,0.01746065,0.000000,0.000000
1577837188.39946604,0.01390955,0.01481358,-nan,76621.00000000,0.01672815,0.000000,0.000000
